Dataset,Method,Median reference ARI,Reference ARI SD,Median reference NMI,Reference NMI SD,Median pairwise partition ARI,5th percentile pairwise partition ARI,Minimum pairwise partition ARI,"Iso-accuracy pairs, n",Median iso-accuracy partition ARI,Minimum iso-accuracy partition ARI,"Divergent iso-accuracy pairs, n",Divergent iso-accuracy fraction
151510,STAGATE,0.29646475280000001,0.043578477429999998,0.48391569449999999,0.037906402899999997,0.52630219209999995,0.35182063530000002,0.28153267720000003,48,0.55963963090000002,0.38116001999999999,17,0.35416666670000002
151510,SpaGCN,0.3036017473,0.045391197160000001,0.4514793071,0.043436169300000001,0.49900309139999999,0.28331046529999998,0.2570513036,57,0.53270821879999997,0.36936127470000002,19,0.33333333329999998
151510,BANKSY,0.33743862409999997,0.029336841329999998,0.52575675690000001,0.038995198760000002,0.51597094160000001,0.40773686409999998,0.3443972609,68,0.77358064309999996,0.412980342,28,0.41176470590000003
151510,SEDR,0.46733041006800002,0.043348300609000003,0.63683578987,0.0223027183501,0.614370914426,0.51676178803299988,0.47448848221700002,41,0.62328525723999995,0.51461399114600004,0,0
151669,GraphST,0.2358064537,0.047500213520000001,0.35256275799999998,0.018932905010000001,0.43823299729999998,0.36078901740000002,0.33060983100000002,43,0.4809889873,0.37375618179999998,37,0.8604651163
151669,STAGATE,0.2484200946,0.015900465749999999,0.46252558929999998,0.01419050585,0.75075731729999995,0.69779629840000001,0.68265663710000002,128,0.75288716300000003,0.68702209700000005,0,0
151669,SpaGCN,0.19972625090000001,0.032308983579999999,0.38259589100000002,0.050576875219999998,0.46116879440000003,0.35013685220000001,0.30930619310000002,63,0.48888805790000001,0.33771984919999998,32,0.5079365079
151669,BANKSY,0.2918394024,0.0094480481429999996,0.52037788910000005,0.010464634029999999,0.97722700060000001,0.85072637289999997,0.84895641489999996,171,0.99578461829999998,0.90492496079999996,0,0
151669,SEDR,0.39281442965399987,0.067617563761999899,0.60022783487800002,0.027351684668599899,0.613723122412,0.49929424037300002,0.42746568154100001,43,0.61987678647900002,0.50257086558399988,0,0
151670,GraphST,0.22072696689999999,0.04461019963,0.34450632889999999,0.018170107939999999,0.39128145939999998,0.31492924080000001,0.27122242359999998,62,0.38266151409999999,0.28343453800000001,56,0.90322580649999995
151670,STAGATE,0.20701541230000001,0.065076831210000005,0.43428621610000001,0.021123053480000001,0.61563940179999999,0.53736771819999996,0.4825030951,29,0.65226499800000004,0.52031692679999997,0,0
151670,SpaGCN,0.1599621812,0.028509650000000001,0.33309542819999999,0.040937957320000003,0.38692847790000001,0.29600924099999998,0.24273471229999999,73,0.3934508229,0.30311850089999998,63,0.86301369859999999
151670,BANKSY,0.34871101389999998,0.13221554160000001,0.48598479,0.051180890380000003,0.59131043270000005,0.35862695309999998,0.31252287299999998,19,0.86014397119999997,0.4574879187,2,0.1052631579
151670,SEDR,0.31477719869699988,0.045382559555599902,0.51010373750100002,0.029131182733499902,0.592134576069,0.48572558759700002,0.41209222428999992,48,0.60708910543399985,0.49682168662199988,1,0.020833333333300001
151671,GraphST,0.30259541169999998,0.029247595830000001,0.40933434289999998,0.010157218080000001,0.55235808880000004,0.45403264560000001,0.3816504356,72,0.56487229309999998,0.4526758286,10,0.13888888890000001
151671,STAGATE,0.34970491199999998,0.02663670794,0.49615844609999998,0.01436054784,0.6856020961,0.54649433719999996,0.51982766800000002,70,0.70308913640000004,0.54630584419999995,0,0
151671,SpaGCN,0.2417816146,0.034291383010000002,0.38328991899999998,0.041267513220000003,0.42907264969999998,0.32831155480000002,0.30783555639999999,73,0.4743191471,0.32448879470000003,47,0.64383561639999998
151671,BANKSY,0.41602292909999999,0.019706366730000001,0.53351289120000001,0.01454861191,0.87743276790000002,0.63082029129999995,0.60280250909999999,133,0.89830111909999999,0.60280250909999999,0,0
151671,SEDR,0.48237903721499992,0.0618030779386999,0.66179588348399987,0.0223149803841,0.62299854091700002,0.53539757311500003,0.49482737482299988,43,0.67166017536,0.49482737482299988,1,0.023255813953500001
151672,GraphST,0.32031883989999999,0.034146291879999999,0.36646261450000001,0.018975419800000001,0.46007491569999998,0.3373416715,0.30215771879999997,74,0.47971505720000002,0.41729816870000003,53,0.71621621619999998
151672,STAGATE,0.38368920969999998,0.01489185832,0.48402318620000001,0.01536789004,0.65813452269999995,0.55776629659999999,0.49889205269999998,120,0.66551287479999999,0.49889205269999998,1,0.0083333333329999992
151672,SpaGCN,0.29711797000000001,0.025347097959999999,0.43460534179999999,0.03213221309,0.41771827579999998,0.33290404779999999,0.2979315146,69,0.43118235300000002,0.2979315146,57,0.82608695649999997
151672,BANKSY,0.44831618229999998,0.092179710789999994,0.55966218020000003,0.042371245029999997,0.77020830880000002,0.55505060139999995,0.45997886199999999,83,0.87218640839999995,0.76466949049999999,0,0
151672,SEDR,0.488040070213,0.034602429147500002,0.65075219950600005,0.016111625437599902,0.71240927120700004,0.622795878819,0.546046098674,64,0.78233348377199985,0.61859591113800005,0,0
151673,GraphST,0.1998882532,0.01267988382,0.40122032569999999,0.024260343569999999,0.6081119613,0.52497956479999996,0.48390340469999998,140,0.62032795740000002,0.51345642889999998,0,0
151673,STAGATE,0.22483572160000001,0.023778852199999999,0.41252872629999998,0.023722634279999998,0.67583986890000003,0.44929701900000002,0.41349685619999998,77,0.71052521719999995,0.41349685619999998,11,0.14285714290000001
151673,SpaGCN,0.27777466280000002,0.033346055079999999,0.41438057630000003,0.04702371147,0.50236927870000003,0.4019525203,0.37850980620000002,70,0.55297289439999997,0.44614656019999999,7,0.10000000000000001
151673,BANKSY,0.32833604309999997,0.041039986950000003,0.53095139049999995,0.049659607500000001,0.60219777740000002,0.35873795949999998,0.3335594898,76,0.93140575520000002,0.56427200070000005,0,0
