Dataset,Method,Empirical P(rank 1),Expected empirical rank,Median empirical rank,P(top 2),P(top 3),Within-unit partition-to-marker Spearman rho,Low-tertile marker Jaccard,Middle-tertile marker Jaccard,High-tertile marker Jaccard,20-seed consensus reference ARI,Split-half consensus ARI,Consensus reproducibility gain
151669,GraphST,0,3.8199999999999998,4,0.061124999999999902,0.386625,0.46605340000000001,0.49253731000000001,0.56865157,0.61290323000000002,0.26421818749999998,0.74689765090000004,0.30866465360000001
151669,STAGATE,0,3.3574999999999999,3,0.045999999999999902,0.60962499999999986,0.23902234999999999,0.69491524999999998,0.70940170999999996,0.70940170999999996,0.26083119519999998,0.87633721310000001,0.1255798957
151669,SpaGCN,0,4.7074999999999996,5,0,0.011625,0.91234883,0.42857142999999998,0.55038759999999998,0.65289255999999996,0.22621404780000001,0.77080514229999997,0.3096363479
151669,BANKSY,0.0025000000000000001,2.1124999999999998,2,0.89287499999999986,0.99212500000000003,0.96628976,0.75438596000000002,0.96078430999999997,1,0.29143418110000002,0.99627526249999998,0.01904826184
151669,SEDR,0.99750000000000005,1.0024999999999999,1,1,1,0.67711646589999985,0.62601626020000001,0.6949152542,0.73163418290000004,0.38614965221699987,0.80260222063200004,0.18887909822000001
151670,GraphST,0.0354999999999999,3.1924999999999999,3,0.170125,0.64087499999999986,0.21719748999999999,0.53846154000000002,0.57480315000000004,0.57490079000000005,0.36914071189999997,0.77156463389999996,0.38028317449999999
151670,STAGATE,0.0560125,3.6225000000000001,4,0.17217499999999991,0.38373750000000001,0.56807602000000001,0.49253731000000001,0.65977960999999996,0.66666667000000002,0.25783511129999998,0.7698967202,0.1542573183
151670,SpaGCN,0,4.6875,5,0.0017875,0.036049999999999902,0.70969797999999995,0.27388535000000003,0.34681662000000002,0.44421272000000001,0.22346157250000001,0.53681644890000002,0.14988797100000001
151670,BANKSY,0.54910625000000002,1.6975,1,0.79954999999999987,0.95508124999999999,0.94051348000000001,0.50375939999999997,0.75560176000000001,0.90545323,0.31471974209999998,0.62323726800000001,0.031926835260000001
151670,SEDR,0.35938124999999987,1.8,2,0.85636250000000003,0.98425625000000005,0.49555779779999992,0.50375939849999996,0.48148148149999992,0.68067226889999988,0.29710475247899992,0.80236343657300002,0.210228860504
151671,GraphST,0,4.0999999999999996,4,0,0.060999999999999902,0.46768587,0.51515151999999997,0.56865157,0.58730159000000004,0.32766177940000002,0.76894753370000002,0.21658944490000001
151671,STAGATE,0,3.04,3,0.044999999999999901,0.92149999999999999,0.74833601000000005,0.53258954999999997,0.62601625999999999,0.68067226999999997,0.3815104399,0.86467631990000005,0.17907422379999999
151671,SpaGCN,0,4.8150000000000004,5,0,0.017500000000000002,0.88166166000000001,0.38888888999999999,0.49253731000000001,0.5625,0.27601120709999999,0.50853670880000001,0.079464059099999998
151671,BANKSY,0,2.0449999999999999,2,0.95499999999999996,1,0.91744157999999998,0.72413793000000004,0.80180180000000001,0.86915887999999997,0.4219221883,0.91065109659999999,0.033218328710000002
151671,SEDR,1,1,1,1,1,0.56929988200000003,0.61290322580000001,0.66666666669999985,0.69503698920000001,0.61700644608999988,0.69164881968699987,0.068650278769500001
151672,GraphST,0,4.2525000000000004,4,0,0.0025000000000000001,0.44204408000000001,0.44927536000000001,0.51515151999999997,0.51515151999999997,0.37288852519999999,0.67223331519999996,0.21215839950000001
151672,STAGATE,0,2.9775,3,0.025000000000000001,0.99750000000000005,0.59609780000000001,0.53846154000000002,0.56865157,0.62601625999999999,0.40463778839999998,0.75505934470000002,0.096924821950000004
151672,SpaGCN,0,4.7450000000000001,5,0,0,0.80370401999999996,0.43884891999999998,0.52671756000000003,0.59999999999999998,0.32421070959999998,0.73152988429999999,0.31381160850000001
151672,BANKSY,0.28999999999999992,1.7350000000000001,2,0.97499999999999998,1,0.73157368,0.63934426,0.72465060999999997,0.92307691999999997,0.44470549479999999,0.98469815869999999,0.2144898499
151672,SEDR,0.70999999999999985,1.29,1,1,1,0.72125599870000001,0.70215848179999985,0.7699115044,0.78571428570000001,0.47917956872400003,0.76228248345899985,0.049873212251900001
151673,GraphST,0,4.7725,5,0.00063750000000000005,0.02035,0.68726591999999997,0.70940170999999996,0.75438596000000002,0.78571429000000004,0.21214590550000001,0.79006760899999995,0.1819556477
151673,STAGATE,0,3.9550000000000001,4,0.0083374999999999005,0.196575,0.84653276,0.70940170999999996,0.76991149999999997,0.80180180000000001,0.2278013626,0.85887892889999995,0.18303906
151673,SpaGCN,0,3.1274999999999999,3,0.073275000000000007,0.82682500000000003,0.86309283000000003,0.49814836000000001,0.59999999999999998,0.72413793000000004,0.24746457059999999,0.51314430089999996,0.01077502221
151673,BANKSY,0,2.145,2,0.91774999999999995,0.95625000000000004,0.77994808999999998,0.88679244999999995,0.92307691999999997,1,0.37548292680000001,0.99663553329999999,0.39443775590000002
151673,SEDR,1,1,1,1,1,0.73886931720000004,0.73913043479999985,0.80180180180000005,0.80999180999999987,0.59552172195399988,0.76968931399399987,0.016010789285699899
151674,GraphST,0,4.3475000000000001,5,0.057006250000000001,0.1719874999999999,0.76524075999999996,0.68779376000000003,0.73913043,0.78571429000000004,0.1968041884,0.74436936149999999,0.17159130510000001
151674,STAGATE,0,3.7949999999999999,4,0.1131375,0.376975,0.67800437999999996,0.67366946999999999,0.71676982,0.80180180000000001,0.2347850074,0.61528111289999998,0.063618418879999999
151674,SpaGCN,0,2.5674999999999999,2,0.57461874999999984,0.88263749999999985,0.77584315000000004,0.76991149999999997,0.81818181999999995,0.86915887999999997,0.2362401589,0.86753700680000001,0.14908558190000001
151674,BANKSY,0,3.29,3,0.25523750000000001,0.56840000000000002,0.87454091,0.76991149999999997,0.92307691999999997,1,0.21566716120000001,0.9661509962,0.22268801839999999
151674,SEDR,1,1,1,1,1,0.84244085859999995,0.66678241540000005,0.6949152542,0.80180180180000005,0.64931700598300002,0.80480742580800002,0.0923933698842999
151675,GraphST,0,4.7975000000000003,5,0,0.018499999999999898,0.0085231999999999999,0.75438596000000002,0.78571429000000004,0.73913043,0.1363560583,0.72929979330000005,0.2024293576
151675,STAGATE,0,3.8574999999999999,4,0.0043750000000000004,0.236375,0.60310611999999997,0.52671756000000003,0.61290323000000002,0.73913043,0.20531856649999999,0.72998443339999997,0.1118982738
151675,SpaGCN,0,2.5525000000000002,3,0.455625,0.99187499999999995,0.81769046999999995,0.52671756000000003,0.59999999999999998,0.78571429000000004,0.2354368671,0.84235734240000004,0.29911267429999999
151675,BANKSY,0,2.7925,2,0.54000000000000004,0.75324999999999986,0.75635724000000004,0.68067226999999997,0.5625,1,0.2184323095,0.69738926720000005,0.092533722639999996
151675,SEDR,1,1,1,1,1,0.77466097229999986,0.63934426229999985,0.72413793100000001,0.78571428570000001,0.55030532381300001,0.87742909059700003,0.129537465145
151676,GraphST,0,4.7474999999999996,5,0,0.016250000000000001,0.33910339,0.73913043,0.75438596000000002,0.76991149999999997,0.16627879440000001,0.74429320649999997,0.15883525800000001
151676,STAGATE,0,4.0350000000000001,4,0.0062500000000000003,0.14449999999999991,0.19627411,0.76991149999999997,0.75438596000000002,0.80180180000000001,0.18138494250000001,0.78108454679999995,0.15431943040000001
151676,SpaGCN,0,2.6699999999999999,3,0.34875,0.98124999999999996,0.77034137999999996,0.63934426,0.68067226999999997,0.72413793000000004,0.23181718640000001,0.73137108620000002,0.12285262800000001
