section,dataset_display,method,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,top50_marker_jaccard,top100_marker_jaccard,marker_rank_spearman,aligned_domains_compared_n,aligned_domains_compared,marker_pipeline_source,partition_ari_tertile,section_display,marker_set_size
151507,151507,GraphST,6,18,0.00830691,0.54913616,0.81818182,0.7699115,0.90291682,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,6,19,0.01993096,0.57266931,0.85185185,0.7699115,0.911469,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,6,20,0.00310736,0.34825444,0.72413793,0.58730159,0.83697357,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,7,8,0.00167768,0.539162,0.85185185,0.8018018,0.93257192,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,7,9,0.01471743,0.50676804,0.85185185,0.75438596,0.91825531,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,7,11,0.0011518,0.52840766,0.88679245,0.8018018,0.94043404,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,7,14,0.01225945,0.41307545,0.78571429,0.7699115,0.85283508,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,7,15,0.01428978,0.47860094,0.81818182,0.83486239,0.93797109,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,7,16,0.00912635,0.55844073,0.81818182,0.83486239,0.93023408,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,7,20,0.01133378,0.42924197,0.72413793,0.72413793,0.87143549,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,8,9,0.01303975,0.47577884,0.85185185,0.83486239,0.9241656,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,8,11,0.00282948,0.52917511,0.88679245,0.86915888,0.93920854,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,8,14,0.01058177,0.4232799,0.72413793,0.73913043,0.86492371,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,8,15,0.0126121,0.50255967,0.85185185,0.85185185,0.93322958,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,8,16,0.00744867,0.53532143,0.85185185,0.81818182,0.93700503,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,8,17,0.01915528,0.49304491,0.81818182,0.83486239,0.93113275,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,8,20,0.0096561,0.42679182,0.72413793,0.68067227,0.86566086,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,9,10,0.01358334,0.46855039,0.81818182,0.78571429,0.92336651,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,9,11,0.01586923,0.45494099,0.85185185,0.85185185,0.92878237,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,9,14,0.00245798,0.38973618,0.72413793,0.72413793,0.84830498,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,9,15,0.00042765,0.45143783,0.85185185,0.85185185,0.92648255,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,9,16,0.00559108,0.47791017,0.85185185,0.8018018,0.92575854,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,9,17,0.00611553,0.44380854,0.78571429,0.81818182,0.91499655,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,9,18,0.00803062,0.45540694,0.85185185,0.8018018,0.90995529,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,9,19,0.01965467,0.4630207,0.81818182,0.8018018,0.92105032,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,9,20,0.00338365,0.41395369,0.72413793,0.65289256,0.86451624,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,10,12,0.00903862,0.39326824,0.78571429,0.78571429,0.89462955,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,10,13,0.01873085,0.42927015,0.81818182,0.78571429,0.90625119,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,10,14,0.01604132,0.36508998,0.78571429,0.73913043,0.85158908,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,10,15,0.01401099,0.48427061,0.85185185,0.81818182,0.92988882,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,10,16,0.01917442,0.55552365,0.81818182,0.81818182,0.93005643,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,10,17,0.00746781,0.47862208,0.88679245,0.81818182,0.92625354,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,10,18,0.00555272,0.44542,0.85185185,0.81818182,0.91970003,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,10,19,0.00607133,0.46959648,0.85185185,0.7699115,0.92700963,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,10,20,0.01696699,0.38852428,0.69491525,0.66666667,0.86791231,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,11,14,0.01341125,0.39462776,0.78571429,0.7699115,0.86992422,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
