section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
151671,151671,BANKSY,Low,45,0.86000777,0.72413793,0.75438596,0.90872904,151671
151671,151671,BANKSY,Middle,44,0.89869965,0.8018018,0.78571429,0.92895411,151671
151671,151671,SEDR,High,14,0.80949319949999998,0.69503698920000001,0.75438596489999998,0.92890594209999999,151671
151671,151671,SEDR,Low,15,0.60137120799999999,0.61290322580000001,0.61290322580000001,0.82078389249999995,151671
151671,151671,SEDR,Middle,14,0.67441868540000005,0.66666666669999997,0.70952659259999995,0.89346526510000002,151671
151672,151672,GraphST,High,24,0.51536882,0.51515152,0.5625,0.80115685,151672
151672,151672,GraphST,Low,25,0.43463939,0.44927536,0.51515152,0.75293848,151672
151672,151672,GraphST,Middle,25,0.48014131,0.51515152,0.53846154,0.82022432,151672
151672,151672,STAGATE,High,40,0.72641566,0.62601626,0.69491525,0.88299315,151672
151672,151672,STAGATE,Low,40,0.62093321,0.53846154,0.5625,0.81398068,151672
151672,151672,STAGATE,Middle,40,0.66551287,0.56865157,0.61290323,0.81212005,151672
151672,151672,SpaGCN,High,23,0.50203908,0.6,0.61290323,0.80548187,151672
151672,151672,SpaGCN,Low,23,0.36793,0.43884892,0.44927536,0.70055488,151672
151672,151672,SpaGCN,Middle,23,0.43118235,0.52671756,0.51515152,0.77504348,151672
151672,151672,BANKSY,High,27,0.98655325,0.92307692,0.92307692,0.99333727,151672
151672,151672,BANKSY,Low,28,0.83186319,0.63934426,0.61290323,0.91585664,151672
151672,151672,BANKSY,Middle,28,0.87286693,0.72465061,0.77115987,0.94825492,151672
151672,151672,SEDR,High,21,0.82535041519999996,0.78571428570000001,0.78571428570000001,0.95306156320000002,151672
151672,151672,SEDR,Low,22,0.66645654600000004,0.70215848179999996,0.739261948,0.94481970299999996,151672
151672,151672,SEDR,Middle,21,0.78264557589999995,0.7699115044,0.75438596489999998,0.94786534929999999,151672
151673,151673,GraphST,High,46,0.65837156,0.78571429,0.85185185,0.92885262,151673
151673,151673,GraphST,Low,47,0.57544683,0.70940171,0.78571429,0.91041054,151673
151673,151673,GraphST,Middle,47,0.62033601,0.75438596,0.81818182,0.91922274,151673
151673,151673,STAGATE,High,25,0.74716019,0.8018018,0.85185185,0.94724627,151673
151673,151673,STAGATE,Low,26,0.55167639,0.70940171,0.75438596,0.90488843,151673
151673,151673,STAGATE,Middle,26,0.71223032,0.7699115,0.85185185,0.93982295,151673
151673,151673,SpaGCN,High,23,0.70646415,0.72413793,0.75438596,0.95429749,151673
151673,151673,SpaGCN,Low,24,0.50666657,0.49814836,0.5625,0.86299368,151673
151673,151673,SpaGCN,Middle,23,0.55631241,0.6,0.66666667,0.89467979,151673
151673,151673,BANKSY,High,25,0.99824045,1,1,1,151673
151673,151673,BANKSY,Low,26,0.58179643,0.88679245,0.88679245,0.97365146,151673
151673,151673,BANKSY,Middle,25,0.93140576,0.92307692,0.88679245,0.98735366,151673
151673,151673,SEDR,High,14,0.85058390640000003,0.80999180999999998,0.83501683500000001,0.96022120450000004,151673
151673,151673,SEDR,Low,15,0.71832648320000003,0.73913043479999996,0.72413793100000001,0.92068584539999998,151673
151673,151673,SEDR,Middle,15,0.79295872190000005,0.80180180180000005,0.81818181820000002,0.95086601230000001,151673
151674,151674,GraphST,High,25,0.64300674,0.78571429,0.85185185,0.92049648,151674
151674,151674,GraphST,Low,26,0.54466405,0.68779376,0.78571429,0.89201034,151674
151674,151674,GraphST,Middle,26,0.59028431,0.73913043,0.85185185,0.90680483,151674
151674,151674,STAGATE,High,31,0.68523049,0.8018018,0.85185185,0.9317686,151674
151674,151674,STAGATE,Low,32,0.48331255,0.67366947,0.77005013,0.8895913,151674
151674,151674,STAGATE,Middle,32,0.57315805,0.71676982,0.78571429,0.9118894,151674
151674,151674,SpaGCN,High,39,0.79512271,0.86915888,0.85185185,0.9597856,151674
151674,151674,SpaGCN,Low,39,0.685679,0.7699115,0.78571429,0.93051113,151674
151674,151674,SpaGCN,Middle,39,0.75265746,0.81818182,0.81818182,0.94950893,151674
151674,151674,BANKSY,High,29,0.99713417,1,1,1,151674
151674,151674,BANKSY,Low,29,0.64957368,0.7699115,0.85185185,0.939451,151674
151674,151674,BANKSY,Middle,29,0.84833826,0.92307692,0.92307692,0.99247503,151674
151674,151674,SEDR,High,11,0.84339052810000004,0.80180180180000005,0.81818181820000002,0.94978302150000005,151674
151674,151674,SEDR,Low,12,0.63700664090000003,0.66678241540000005,0.6949152542,0.87596205530000004,151674
151674,151674,SEDR,Middle,12,0.73752199409999997,0.6949152542,0.739261948,0.90098207029999999,151674
151675,151675,GraphST,High,38,0.61080653,0.73913043,0.75438596,0.91250215,151675
151675,151675,GraphST,Low,39,0.47951025,0.75438596,0.69491525,0.90342233,151675
151675,151675,GraphST,Middle,38,0.54426206,0.78571429,0.75438596,0.90474716,151675
151675,151675,STAGATE,High,26,0.68724933,0.73913043,0.75438596,0.90959894,151675
151675,151675,STAGATE,Low,26,0.55963699,0.52671756,0.62612374,0.84238242,151675
151675,151675,STAGATE,Middle,26,0.62953985,0.61290323,0.69491525,0.88466654,151675
151675,151675,SpaGCN,High,32,0.78615206,0.78571429,0.80194805,0.95557595,151675
151675,151675,SpaGCN,Low,33,0.47157431,0.52671756,0.5625,0.88412364,151675
151675,151675,SpaGCN,Middle,33,0.55603176,0.6,0.61290323,0.92565326,151675
