section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,feature_hash,coordinate_hash,graph_hash,elapsed_seconds,device,section_display,n_cells,n_genes
151507,STAGATE,7,0.4048739996,0.5660143312,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,39.83234048,cpu,151507,,
151507,STAGATE,8,0.3926048364,0.5886165151,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,39.82831311,cpu,151507,,
151507,STAGATE,9,0.242950889,0.4683854744,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,41.77042723,cpu,151507,,
151507,STAGATE,10,0.3765858316,0.5855701355,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,41.56801629,cpu,151507,,
151507,STAGATE,11,0.4170051092,0.580406915,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,41.14798594,cpu,151507,,
151507,STAGATE,12,0.2524899087,0.4710797986,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,39.97272611,cpu,151507,,
151507,STAGATE,13,0.2681429087,0.4871207689,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,40.78535223,cpu,151507,,
151507,STAGATE,14,0.2448406731,0.5409396708,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,42.15733218,cpu,151507,,
151507,STAGATE,15,0.2375497612,0.4597551331,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,41.92626262,cpu,151507,,
151507,STAGATE,16,0.244493334,0.4692313003,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,41.95677972,cpu,151507,,
151507,STAGATE,17,0.242500329,0.4680422088,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,41.54232502,cpu,151507,,
151507,STAGATE,18,0.3163330896,0.4911590369,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,42.00001478,cpu,151507,,
151507,STAGATE,19,0.250086085,0.4700646522,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,40.94722438,cpu,151507,,
151507,STAGATE,20,0.3415403768,0.5713240879,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,40.05660653,cpu,151507,,
151507,SpaGCN,1,0.3632867545,0.4781931646,4226,6,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,21.78170204,cpu,151507,,
151507,SpaGCN,2,0.3685778293,0.4932969004,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,10.68261909,cpu,151507,,
151507,SpaGCN,3,0.4189789695,0.520489648,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,19.2104733,cpu,151507,,
151507,SpaGCN,4,0.3233227839,0.4688545662,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,18.78930593,cpu,151507,,
151507,SpaGCN,5,0.3921468974,0.5169903719,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,17.29689741,cpu,151507,,
151507,SpaGCN,6,0.3054046577,0.4574155325,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,6.705305576,cpu,151507,,
151507,SpaGCN,7,0.2703780632,0.4529707549,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,19.88379097,cpu,151507,,
151507,SpaGCN,8,0.2909195392,0.4485216351,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,21.65443993,cpu,151507,,
151507,SpaGCN,9,0.2985877537,0.4552673027,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,21.73798966,cpu,151507,,
151507,SpaGCN,10,0.3617221527,0.4928169987,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,22.90824056,cpu,151507,,
151507,SpaGCN,11,0.3786058484,0.5238155401,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,23.93744802,cpu,151507,,
151507,SpaGCN,12,0.3869610927,0.5015164593,4226,6,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,91d9c9f886445b3c211029b2b026144c5ee3dba4c191e633aedb112996c56295,8.54735136,cpu,151507,,
