section,section_display,method,rank,rank_x2,count,probability,enumerated_combinations,rank_rule,interpretation_unit
151669,151669,GraphST,4,8,1106000,0.34562500000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,5,10,856800,0.26774999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,2,4,147200,0.045999999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,3,6,1803600,0.56362500000000004,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,4,8,1207200,0.37724999999999997,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,STAGATE,5,10,42000,0.013125,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,2,4,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,3,6,37200,0.011625,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,4,8,861600,0.26924999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,SpaGCN,5,10,2301200,0.71912500000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,BANKSY,1,2,8000,0.0025000000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
