section,method,n_seeds,median_reference_ari,reference_ari_sd,reference_ari_min,reference_ari_max,reference_ari_range,median_reference_nmi,reference_nmi_sd,median_pairwise_partition_ari,p05_pairwise_partition_ari,minimum_pairwise_partition_ari,median_pairwise_partition_nmi,partition_instability,section_display,p05_pairwise_partition_nmi,minimum_pairwise_partition_nmi
151510,GraphST,20,0.3124588271,0.03966713001,0.2032774566,0.3577202511,0.1544427945,0.4613849739,0.02337366417,0.4540235012,0.3273395388,0.2765300278,0.5702105762,0.5459764988,151510,,
151510,STAGATE,20,0.2964647528,0.04357847743,0.2358034927,0.3791734792,0.1433699864,0.4839156945,0.0379064029,0.5263021921,0.3518206353,0.2815326772,0.6334893657,0.4736978079,151510,,
151510,SpaGCN,20,0.3036017473,0.04539119716,0.1705624332,0.3659755379,0.1954131047,0.4514793071,0.0434361693,0.4990030914,0.2833104653,0.2570513036,0.5876451092,0.5009969086,151510,,
151510,BANKSY,20,0.3374386241,0.02933684133,0.2775809357,0.3726699119,0.09508897617,0.5257567569,0.03899519876,0.5159709416,0.4077368641,0.3443972609,0.6912865507,0.4840290584,151510,,
151510,SEDR,20,0.46733041006800002,0.043348300609000003,0.39380100076000002,0.53906163807899998,0.14526063731899999,0.63683578987,0.0223027183501,0.614370914426,0.51676178803299999,0.47448848221700002,0.72470016577700003,0.385629085574,151510,0.67977396410480007,0.65813119258300001
151669,GraphST,20,0.2358064537,0.04750021352,0.139318103,0.3005136928,0.1611955898,0.352562758,0.01893290501,0.4382329973,0.3607890174,0.330609831,0.5014929895,0.5617670027,151669,,
151669,STAGATE,20,0.2484200946,0.01590046575,0.2187226719,0.2957617334,0.07703906148,0.4625255893,0.01419050585,0.7507573173,0.6977962984,0.6826566371,0.7253438433,0.2492426827,151669,,
151669,SpaGCN,20,0.1997262509,0.03230898358,0.1226986544,0.2405296267,0.1178309723,0.382595891,0.05057687522,0.4611687944,0.3501368522,0.3093061931,0.5173205677,0.5388312056,151669,,
151669,BANKSY,20,0.2918394024,0.009448048143,0.2556902742,0.3076992866,0.05200901235,0.5203778891,0.01046463403,0.9772270006,0.8507263729,0.8489564149,0.9557897211,0.02277299935,151669,,
151669,SEDR,20,0.39281442965399999,0.067617563761999996,0.30535869618299999,0.61929490534499998,0.31393620916100001,0.60022783487800002,0.027351684668599999,0.613723122412,0.49929424037300002,0.42746568154100001,0.71881836642700003,0.386276877588,151669,0.66696832939024997,0.62205487530400005
151670,GraphST,20,0.2207269669,0.04461019963,0.1658064771,0.3745605584,0.2087540813,0.3445063289,0.01817010794,0.3912814594,0.3149292408,0.2712224236,0.4476618352,0.6087185406,151670,,
151670,STAGATE,20,0.2070154123,0.06507683121,0.115353701,0.352359398,0.237005697,0.4342862161,0.02112305348,0.6156394018,0.5373677182,0.4825030951,0.6221052968,0.3843605982,151670,,
151670,SpaGCN,20,0.1599621812,0.02850965,0.1272609528,0.2365262758,0.1092653231,0.3330954282,0.04093795732,0.3869284779,0.296009241,0.2427347123,0.4583236333,0.6130715221,151670,,
151670,BANKSY,20,0.3487110139,0.1322155416,0.2093976762,0.6745597221,0.4651620459,0.48598479,0.05118089038,0.5913104327,0.3586269531,0.312522873,0.694169557,0.4086895673,151670,,
151670,SEDR,20,0.31477719869699999,0.045382559555599999,0.24197654496500001,0.401382442369,0.15940589740399999,0.51010373750100002,0.029131182733499999,0.592134576069,0.48572558759700002,0.41209222428999998,0.69189366282599996,0.407865423931,151670,0.63707576818610001,0.59477674583399998
151671,GraphST,20,0.3025954117,0.02924759583,0.2400221114,0.3327844919,0.0927623805,0.4093343429,0.01015721808,0.5523580888,0.4540326456,0.3816504356,0.5408133581,0.4476419112,151671,,
151671,STAGATE,20,0.349704912,0.02663670794,0.3059040527,0.3924300446,0.0865259919,0.4961584461,0.01436054784,0.6856020961,0.5464943372,0.519827668,0.6944555255,0.3143979039,151671,,
151671,SpaGCN,20,0.2417816146,0.03429138301,0.1900747368,0.3307880704,0.1407133336,0.383289919,0.04126751322,0.4290726497,0.3283115548,0.3078355564,0.5159708717,0.5709273503,151671,,
151671,BANKSY,20,0.4160229291,0.01970636673,0.3578305201,0.4273852203,0.06955470019,0.5335128912,0.01454861191,0.8774327679,0.6308202913,0.6028025091,0.8406662307,0.1225672321,151671,,
151671,SEDR,20,0.48237903721499997,0.061803077938699998,0.43051076843199998,0.605693411219,0.17518264278699999,0.66179588348399998,0.0223149803841,0.62299854091700002,0.53539757311500003,0.49482737482299999,0.74642993477300001,0.37700145908299998,151671,0.70138509657185,0.68222934980899996
151672,GraphST,20,0.3203188399,0.03414629188,0.2049429524,0.3607505427,0.1558075903,0.3664626145,0.0189754198,0.4600749157,0.3373416715,0.3021577188,0.4809829617,0.5399250843,151672,,
151672,STAGATE,20,0.3836892097,0.01489185832,0.3522560457,0.4102767314,0.05802068572,0.4840231862,0.01536789004,0.6581345227,0.5577662966,0.4988920527,0.6538779334,0.3418654773,151672,,
151672,SpaGCN,20,0.29711797,0.02534709796,0.2527371907,0.3308710605,0.07813386977,0.4346053418,0.03213221309,0.4177182758,0.3329040478,0.2979315146,0.5043329161,0.5822817242,151672,,
151672,BANKSY,20,0.4483161823,0.09217971079,0.3833218916,0.7249702866,0.341648395,0.5596621802,0.04237124503,0.7702083088,0.5550506014,0.459978862,0.7537700933,0.2297916912,151672,,
151672,SEDR,20,0.488040070213,0.034602429147500002,0.44386437912799998,0.56831833328500003,0.124453954157,0.65075219950600005,0.016111625437599999,0.71240927120700004,0.622795878819,0.546046098674,0.79169943536700005,0.28759072879300002,151672,0.75252674361400007,0.71220850237699995
151673,GraphST,20,0.1998882532,0.01267988382,0.1759093035,0.2294850467,0.05357574318,0.4012203257,0.02426034357,0.6081119613,0.5249795648,0.4839034047,0.6310242562,0.3918880387,151673,,
151673,STAGATE,20,0.2248357216,0.0237788522,0.1879368551,0.2660158285,0.07807897338,0.4125287263,0.02372263428,0.6758398689,0.449297019,0.4134968562,0.6868888334,0.3241601311,151673,,
151673,SpaGCN,20,0.2777746628,0.03334605508,0.2009350986,0.3289365562,0.1280014576,0.4143805763,0.04702371147,0.5023692787,0.4019525203,0.3785098062,0.6155506036,0.4976307213,151673,,
151673,BANKSY,20,0.3283360431,0.04103998695,0.2018075327,0.3754829268,0.1736753942,0.5309513905,0.0496596075,0.6021977774,0.3587379595,0.3335594898,0.7763587081,0.3978022226,151673,,
151673,SEDR,20,0.56939435313099995,0.0416214843323,0.49304284190199998,0.64704773651500003,0.15400489461299999,0.68729281423300004,0.0237226542097,0.75367852470899999,0.58664962241700003,0.53436146714300004,0.78840205959099996,0.24632147529100001,151673,0.70635979438969998,0.68005979575999997
151674,GraphST,20,0.1972995918,0.02357164759,0.1501472613,0.2359508844,0.08580362314,0.3577717103,0.01967245968,0.5727780565,0.5033809163,0.4615220435,0.6098543505,0.4272219435,151674,,
151674,STAGATE,20,0.2129617979,0.02746626498,0.1227576212,0.2354745105,0.1127168893,0.3644948809,0.02193045721,0.551662694,0.3991968583,0.327801542,0.6355159086,0.448337306,151674,,
151674,SpaGCN,20,0.2285163325,0.01929603314,0.1967868088,0.2822475735,0.0854607647,0.3712199349,0.01977121209,0.7184514249,0.4987148085,0.4643914437,0.7409240444,0.2815485751,151674,,
151674,BANKSY,20,0.2150967877,0.03621340574,0.1888750005,0.3025505225,0.113675522,0.3917265467,0.02917164796,0.7434629778,0.5613932882,0.4695327839,0.7725771689,0.2565370222,151674,,
151674,SEDR,20,0.57821223946,0.058361445690700002,0.41853737272899999,0.63991785995100003,0.22138048722199999,0.69321969804399997,0.041292258465200002,0.712414055923,0.49776109597099999,0.44481793120099999,0.76402354054099997,0.287585944077,151674,0.63772983760205004,0.58184136583900004
151675,GraphST,20,0.1463724951,0.01783732935,0.1238142169,0.1968122062,0.07299798933,0.3532245269,0.03035898843,0.5268704357,0.3388545431,0.2916904627,0.5898454186,0.4731295643,151675,,
151675,STAGATE,20,0.1873943846,0.02383803876,0.1422908927,0.2185403548,0.0762494621,0.366432928,0.02743538653,0.6180861596,0.5203579967,0.469705215,0.647271788,0.3819138404,151675,,
151675,SpaGCN,20,0.2376500734,0.01964052952,0.2132208246,0.2828374005,0.06961657589,0.3840612085,0.02261983702,0.5432446681,0.4149478968,0.3749504644,0.6386254691,0.4567553319,151675,,
151675,BANKSY,20,0.2470568708,0.05896970587,0.1230743018,0.3262488181,0.2031745163,0.4377573763,0.06164792233,0.6048555446,0.4918278717,0.3523922716,0.6892040581,0.3951444554,151675,,
151675,SEDR,20,0.53639259673899997,0.033727525241399998,0.48113567805000002,0.60177879483399999,0.120643116784,0.67043073118600005,0.023171212150400002,0.74789162545200005,0.64540702949399997,0.57455290375599999,0.77611386801299997,0.252108374548,151675,0.72056995815949998,0.68231860442699999
151676,GraphST,20,0.1610284736,0.01115179909,0.1261628588,0.1772428871,0.0510800283,0.3588403105,0.01468466217,0.5854579485,0.5358989972,0.5023658656,0.6248181663,0.4145420515,151676,,
151676,STAGATE,20,0.1747355438,0.01702305777,0.1521197169,0.2118890594,0.05976934249,0.3619881196,0.01538996654,0.6267651163,0.5380319658,0.506577663,0.6448869421,0.3732348837,151676,,
151676,SpaGCN,20,0.2255013488,0.01491725488,0.1943867043,0.2568151675,0.06242846322,0.3571774965,0.0178528642,0.6085184582,0.5008012436,0.4376147234,0.6736190064,0.3914815418,151676,,
