section,section_display,method,threshold,n_iso_accuracy_pairs,median_pairwise_partition_ari,minimum_pairwise_partition_ari,n_partition_ari_below_0_50,fraction_partition_ari_below_0_50
151674,151674,BANKSY,0.02,87,0.8483382635,0.4695327839,1,0.01149425287
151674,151674,BANKSY,0.03,120,0.8496135787,0.4695327839,1,0.008333333333
151674,151674,SEDR,0.01,23,0.74190108288900003,0.50228015539299997,0,0
151674,151674,SEDR,0.02,35,0.73314290525199999,0.50228015539299997,0,0
151674,151674,SEDR,0.029999999999999999,64,0.73460272126399995,0.50228015539299997,0,0
151675,151675,GraphST,0.01,56,0.549085146,0.3828984175,11,0.1964285714
151675,151675,GraphST,0.02,115,0.5440995093,0.3621706488,28,0.2434782609
151675,151675,GraphST,0.03,147,0.537403852,0.352319501,38,0.2585034014
151675,151675,STAGATE,0.01,39,0.6416724866,0.5034881837,0,0
151675,151675,STAGATE,0.02,78,0.6295398517,0.5034881837,0,0
151675,151675,STAGATE,0.03,112,0.6295398517,0.5034881837,0,0
151675,151675,SpaGCN,0.01,47,0.5535032701,0.3837204282,19,0.4042553191
151675,151675,SpaGCN,0.02,98,0.5547675167,0.3749504644,34,0.3469387755
151675,151675,SpaGCN,0.03,136,0.545991974,0.3749504644,45,0.3308823529
151675,151675,BANKSY,0.01,23,0.9312099468,0.5436882113,0,0
151675,151675,BANKSY,0.02,38,0.7442040059,0.4979639789,1,0.02631578947
151675,151675,BANKSY,0.03,47,0.7327278486,0.4979639789,1,0.02127659574
151675,151675,SEDR,0.01,24,0.75558058768900005,0.58428210649199996,0,0
151675,151675,SEDR,0.02,52,0.75767739994200001,0.58428210649199996,0,0
151675,151675,SEDR,0.029999999999999999,82,0.75631324478899997,0.58428210649199996,0,0
151676,151676,GraphST,0.01,106,0.5929663639,0.5403307773,0,0
151676,151676,GraphST,0.02,157,0.5915845502,0.5403307773,0,0
151676,151676,GraphST,0.03,175,0.5897577848,0.5294021597,0,0
151676,151676,STAGATE,0.01,58,0.6665483156,0.5334995258,0,0
