section,section_display,method,seed,reference_ari
151670,151670,SEDR,1,0.32543619338300001
151670,151670,SEDR,2,0.25642157954400002
151670,151670,SEDR,3,0.348360683497
151670,151670,SEDR,4,0.24197654496500001
151670,151670,SEDR,5,0.31836813644099993
151670,151670,SEDR,6,0.38894493162600002
151670,151670,SEDR,7,0.25845426468900001
151670,151670,SEDR,8,0.31986100040799992
151670,151670,SEDR,9,0.31601100829399992
151670,151670,SEDR,10,0.28821291281700001
151670,151670,SEDR,11,0.28044060874499988
151670,151670,SEDR,12,0.32973601093600002
151670,151670,SEDR,13,0.29818475347399992
151670,151670,SEDR,14,0.31354338910000001
151670,151670,SEDR,15,0.27340438300999992
151670,151670,SEDR,16,0.38430872978199992
151670,151670,SEDR,17,0.321435295806
151670,151670,SEDR,18,0.401382442369
151670,151670,SEDR,19,0.31274396758200002
151670,151670,SEDR,20,0.24976793036200001
STARmap,STARmap,GraphST,1,0.3854984213
STARmap,STARmap,GraphST,2,0.3563668143
STARmap,STARmap,GraphST,3,0.49890311739999998
STARmap,STARmap,GraphST,4,0.46225794920000002
STARmap,STARmap,GraphST,5,0.49876040020000001
STARmap,STARmap,GraphST,6,0.45827761420000002
STARmap,STARmap,GraphST,7,0.49479968019999998
STARmap,STARmap,GraphST,8,0.46607029900000002
STARmap,STARmap,GraphST,9,0.48685064610000001
STARmap,STARmap,GraphST,10,0.50503340279999998
STARmap,STARmap,GraphST,11,0.48967619600000001
STARmap,STARmap,GraphST,12,0.46384749539999998
STARmap,STARmap,GraphST,13,0.48969940299999998
STARmap,STARmap,GraphST,14,0.4927615387
STARmap,STARmap,GraphST,15,0.47057464780000002
STARmap,STARmap,GraphST,16,0.52164901880000003
STARmap,STARmap,GraphST,17,0.40534500000000001
STARmap,STARmap,GraphST,18,0.48589326529999999
STARmap,STARmap,GraphST,19,0.46711794680000002
STARmap,STARmap,GraphST,20,0.4800343822
STARmap,STARmap,STAGATE,1,0.2779761805
STARmap,STARmap,STAGATE,2,0.27592595619999999
STARmap,STARmap,STAGATE,3,0.2771488178
STARmap,STARmap,STAGATE,4,0.31057237589999998
STARmap,STARmap,STAGATE,5,0.28982621339999998
STARmap,STARmap,STAGATE,6,0.30875207789999998
STARmap,STARmap,STAGATE,7,0.2598801255
STARmap,STARmap,STAGATE,8,0.22694936039999999
STARmap,STARmap,STAGATE,9,0.28930356950000002
STARmap,STARmap,STAGATE,10,0.3192875664
STARmap,STARmap,STAGATE,11,0.3093538368
STARmap,STARmap,STAGATE,12,0.30632259680000001
STARmap,STARmap,STAGATE,13,0.28197062379999999
STARmap,STARmap,STAGATE,14,0.29451929020000001
STARmap,STARmap,STAGATE,15,0.3015415642
STARmap,STARmap,STAGATE,16,0.30656179300000003
STARmap,STARmap,STAGATE,17,0.32357881389999998
STARmap,STARmap,STAGATE,18,0.31224001540000001
STARmap,STARmap,STAGATE,19,0.29345272239999998
STARmap,STARmap,STAGATE,20,0.313451798
STARmap,STARmap,SpaGCN,1,0.35560261129999998
STARmap,STARmap,SpaGCN,2,0.27492403409999999
STARmap,STARmap,SpaGCN,3,0.25647998799999999
STARmap,STARmap,SpaGCN,4,0.35927101700000003
STARmap,STARmap,SpaGCN,5,0.42945842699999998
STARmap,STARmap,SpaGCN,6,0.39800187529999997
STARmap,STARmap,SpaGCN,7,0.45036333989999999
STARmap,STARmap,SpaGCN,8,0.33988471399999998
STARmap,STARmap,SpaGCN,9,0.42625294829999999
STARmap,STARmap,SpaGCN,10,0.3441096105
STARmap,STARmap,SpaGCN,11,0.31280358860000002
STARmap,STARmap,SpaGCN,12,0.34789969770000001
STARmap,STARmap,SpaGCN,13,0.41056857330000002
STARmap,STARmap,SpaGCN,14,0.41745128520000002
STARmap,STARmap,SpaGCN,15,0.38830452170000002
STARmap,STARmap,SpaGCN,16,0.31294214269999998
STARmap,STARmap,SpaGCN,17,0.2883096872
