section,section_display,method,seed_r,seed_s,pairwise_partition_ari,top50_marker_jaccard,marker_rank_spearman
151507,151507,SpaGCN,6,9,0.61455223999999997,0.66666667000000002,0.91704507999999996
151507,151507,SpaGCN,6,13,0.68922954000000003,0.72413793000000004,0.94328394999999998
151507,151507,SpaGCN,6,17,0.65561195999999999,0.75438596000000002,0.92679641999999995
151507,151507,SpaGCN,6,18,0.69929169999999996,0.80194805000000002,0.94432371000000004
151507,151507,SpaGCN,6,20,0.69168565000000004,0.80194805000000002,0.95200700000000005
151507,151507,SpaGCN,7,18,0.67128628000000001,0.80194805000000002,0.93411317000000005
151507,151507,SpaGCN,8,9,0.66301684999999999,0.75438596000000002,0.92072637000000002
151507,151507,SpaGCN,8,13,0.71318948999999998,0.75438596000000002,0.94296807999999999
151507,151507,SpaGCN,8,17,0.72570336000000002,0.78571429000000004,0.94353584000000001
151507,151507,SpaGCN,8,18,0.70726997000000003,0.81818181999999995,0.94073647999999999
151507,151507,SpaGCN,8,20,0.69059680000000001,0.80546519000000005,0.94001206000000004
151507,151507,SpaGCN,9,13,0.69300446999999998,0.85185184999999997,0.94622908999999999
151507,151507,SpaGCN,9,17,0.62095944000000003,0.75438596000000002,0.93198871000000005
151507,151507,SpaGCN,9,18,0.68779749000000001,0.81818181999999995,0.92871092
151507,151507,SpaGCN,9,20,0.67785465,0.72465060999999997,0.93325701999999999
151507,151507,SpaGCN,10,11,0.48248064000000002,0.26582277999999998,0.46740565000000001
151507,151507,SpaGCN,10,15,0.38539958000000002,0.47058823999999999,0.64081674
151507,151507,SpaGCN,10,19,0.64094403,0.69491524999999998,0.87940264000000001
151507,151507,SpaGCN,11,12,0.53172297999999996,0.57527658000000004,0.80017788999999995
151507,151507,SpaGCN,11,19,0.52454274000000001,0.2987013,0.5056406
151507,151507,SpaGCN,12,14,0.55578117000000005,0.62337662000000005,0.83635398999999999
151507,151507,SpaGCN,12,19,0.57565215000000003,0.72876304000000003,0.83807661
151507,151507,SpaGCN,13,17,0.63424170999999996,0.81818181999999995,0.93497925999999998
151507,151507,SpaGCN,13,20,0.76252306999999997,0.78628388999999999,0.95229269999999999
151507,151507,SpaGCN,17,18,0.66519452000000001,0.81878306999999995,0.9309925
151507,151507,SpaGCN,17,20,0.66230926999999995,0.80194805000000002,0.92225955999999998
151507,151507,SpaGCN,18,20,0.79179089999999996,0.92307691999999997,0.94907600000000003
151507,151507,BANKSY,1,4,0.57610437999999997,0.75438596000000002,0.8958817
151507,151507,BANKSY,1,5,0.57287429999999995,0.75438596000000002,0.89571433
151507,151507,BANKSY,1,7,0.57294259999999997,0.75438596000000002,0.89586094999999999
151507,151507,BANKSY,1,8,0.57420559000000004,0.75438596000000002,0.89550662000000003
151507,151507,BANKSY,1,9,0.94121812000000005,0.85185184999999997,0.98162589
151507,151507,BANKSY,1,11,0.57499210000000001,0.72413793000000004,0.89498385999999996
151507,151507,BANKSY,1,14,0.57294259999999997,0.75438596000000002,0.89586094999999999
151507,151507,BANKSY,1,17,0.57287429999999995,0.75438596000000002,0.89571433
151507,151507,BANKSY,1,18,0.57499210000000001,0.72413793000000004,0.89498385999999996
151507,151507,BANKSY,3,6,0.94644236000000004,0.96078430999999997,0.98139734999999995
151507,151507,BANKSY,3,10,0.95885953999999995,0.88679244999999995,0.98426840000000004
151507,151507,BANKSY,3,16,0.95885953999999995,0.88679244999999995,0.98426840000000004
151507,151507,BANKSY,4,5,0.99466823999999998,1,1
151507,151507,BANKSY,4,7,0.99618899000000005,1,1
151507,151507,BANKSY,4,8,0.99771182999999997,1,1
151507,151507,BANKSY,4,9,0.59529865999999998,0.81818181999999995,0.92128615999999997
151507,151507,BANKSY,4,11,0.99578926999999995,1,0.99962461999999996
151507,151507,BANKSY,4,14,0.99618899000000005,1,1
151507,151507,BANKSY,4,17,0.99466823999999998,1,1
151507,151507,BANKSY,4,18,0.99578926999999995,1,0.99962461999999996
151507,151507,BANKSY,5,7,0.99847264999999996,1,1
151507,151507,BANKSY,5,8,0.99694848999999996,1,1
151507,151507,BANKSY,5,9,0.59452472999999995,0.81818181999999995,0.92128615999999997
151507,151507,BANKSY,5,11,0.99047883999999997,1,0.99962461999999996
151507,151507,BANKSY,5,14,0.99847264999999996,1,1
151507,151507,BANKSY,5,17,1,1,1
151507,151507,BANKSY,5,18,0.99047883999999997,1,0.99962461999999996
151507,151507,BANKSY,6,10,0.92452352000000004,0.88679244999999995,0.97955784999999995
151507,151507,BANKSY,6,16,0.92452352000000004,0.88679244999999995,0.97955784999999995
151507,151507,BANKSY,7,8,0.99847319999999995,1,1
151507,151507,BANKSY,7,9,0.59457395999999996,0.81818181999999995,0.92128615999999997
151507,151507,BANKSY,7,11,0.99199349000000003,1,0.99962461999999996
151507,151507,BANKSY,7,14,1,1,1
151507,151507,BANKSY,7,17,0.99847264999999996,1,1
151507,151507,BANKSY,7,18,0.99199349000000003,1,0.99962461999999996
151507,151507,BANKSY,8,9,0.59462347000000004,0.81818181999999995,0.92128615999999997
151507,151507,BANKSY,8,11,0.99351023000000005,1,0.99962461999999996
151507,151507,BANKSY,8,14,0.99847319999999995,1,1
151507,151507,BANKSY,8,17,0.99694848999999996,1,1
