section,dataset_display,method,n_iso_accuracy_pairs,spearman_partition_ari_vs_marker_jaccard,spearman_partition_ari_vs_top50_jaccard,spearman_partition_ari_vs_marker_rank_spearman,section_display,low_tertile_median_marker_jaccard,middle_tertile_median_marker_jaccard,high_tertile_median_marker_jaccard,high_minus_low_marker_jaccard
Bregma −0.09,Bregma −0.09,SEDR,23,0.58817754600000005,0.3515452141,0.58201581030000005,Bregma −0.09,0.86483212180000002,0.86483212180000002,0.91427001279999998,0.049437890999999998
Bregma −0.14,,GraphST,96,0.4437400218,,,Bregma −0.14,0.88696039159999995,0.88696039159999995,0.91391941389999998,0.026959022289999999
Bregma −0.14,,STAGATE,42,0.7086184673,,,Bregma −0.14,0.88687642219999996,0.93717143319999996,0.95126594330000003,0.064389521039999995
Bregma −0.14,,SpaGCN,55,0.56143824990000002,,,Bregma −0.14,0.93241224789999999,0.93241224789999999,0.94659828079999997,0.01418603289
Bregma −0.14,,BANKSY,99,0.80267698379999997,,,Bregma −0.14,0.99009900989999999,1,1,0.0099009900989999993
Bregma −0.14,Bregma −0.14,SEDR,69,0.54564221040000005,0.48613254760000002,0.40806372060000001,Bregma −0.14,0.93277310920000001,0.94193061840000003,0.96078431369999995,0.028011204500000001
Bregma −0.19,,GraphST,44,0.50374799309999996,,,Bregma −0.19,0.92325473879999997,0.94193061840000003,0.95126594330000003,0.028011204479999999
Bregma −0.19,,STAGATE,45,0.8837015157,,,Bregma −0.19,0.85328185329999995,0.90476190479999996,0.95126594330000003,0.097984089989999995
Bregma −0.19,,SpaGCN,22,0.77384928819999999,,,Bregma −0.19,0.91391941389999998,0.92325473879999997,0.94174757279999999,0.0278281589
Bregma −0.19,,BANKSY,123,,,,Bregma −0.19,1,1,1,0
Bregma −0.19,Bregma −0.19,SEDR,134,0.67567810930000005,0.81024905020000004,0.80691529819999996,Bregma −0.19,0.92325473879999997,0.94193061840000003,0.96078431369999995,0.037529574900000001
Bregma −0.24,,GraphST,58,0.4406518109,,,Bregma −0.24,0.91391941389999998,0.93241224789999999,0.93241224789999999,0.018492834029999999
Bregma −0.24,,STAGATE,38,0.74208767939999998,,,Bregma −0.24,0.82743658210000004,0.88679245279999996,0.92783349339999999,0.1003969113
Bregma −0.24,,SpaGCN,43,0.62458728949999998,,,Bregma −0.24,0.93277310920000001,0.94659828079999997,0.96573198149999995,0.032958872290000003
Bregma −0.24,,BANKSY,111,0.67079364050000001,,,Bregma −0.24,0.98019801979999999,0.98019801979999999,1,0.019801980199999999
Bregma −0.24,Bregma −0.24,SEDR,57,0.84713267609999998,0.86187865679999998,0.8976536168,Bregma −0.24,0.87797566569999996,0.94193061840000003,0.96078431369999995,0.082808647999999999
