section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
Bregma −0.04,,SpaGCN,High,23,0.41715005729999999,0.91391941389999998,0.85248713549999999,0.9770294222,Bregma −0.04
Bregma −0.04,,SpaGCN,Low,24,0.29788019539999999,0.86956714869999996,0.72416987990000004,0.93091908089999997,Bregma −0.04
Bregma −0.04,,SpaGCN,Middle,24,0.35523902499999999,0.87022075779999997,0.7434474297,0.9352300925,Bregma −0.04
Bregma −0.04,,BANKSY,High,41,0.99898265529999997,1,1,1,Bregma −0.04
Bregma −0.04,,BANKSY,Low,41,0.51449132279999998,0.97049116680000003,0.94339622639999998,0.99843382420000004,Bregma −0.04
Bregma −0.04,,BANKSY,Middle,41,0.68574152479999995,0.98019801979999999,0.96078431369999995,0.99843382420000004,Bregma −0.04
Bregma −0.04,Bregma −0.04,SEDR,High,34,0.68757950690000003,0.93707991040000005,0.88712842010000004,0.98247800590000001,Bregma −0.04
Bregma −0.04,Bregma −0.04,SEDR,Low,35,0.47592845680000001,0.88948306600000004,0.82058920889999998,0.96406013339999996,Bregma −0.04
Bregma −0.04,Bregma −0.04,SEDR,Middle,34,0.56804828910000005,0.91391941389999998,0.86090464389999999,0.97086542490000005,Bregma −0.04
Bregma −0.09,,GraphST,High,16,0.58345715310000001,0.91391941389999998,0.86932215229999998,0.98388546939999999,Bregma −0.09
Bregma −0.09,,GraphST,Low,16,0.44890186669999999,0.90476190479999996,0.86932215229999998,0.97826044919999999,Bregma −0.09
Bregma −0.09,,GraphST,Middle,16,0.52536285309999997,0.90026954179999996,0.87805730260000003,0.97865118750000002,Bregma −0.09
Bregma −0.09,,STAGATE,High,22,0.71913403949999999,0.91391941389999998,0.85248713549999999,0.98092552609999994,Bregma −0.09
Bregma −0.09,,STAGATE,Low,23,0.53707606539999997,0.88679245279999996,0.80194805189999996,0.95797267249999996,Bregma −0.09
Bregma −0.09,,STAGATE,Middle,22,0.60603016720000003,0.90493468799999999,0.81818181820000002,0.96305952110000004,Bregma −0.09
Bregma −0.09,,SpaGCN,High,12,0.53875910299999996,0.94183909560000001,0.86932215229999998,0.99210869779999999,Bregma −0.09
Bregma −0.09,,SpaGCN,Low,12,0.3594224439,0.89611790079999998,0.8031189084,0.96415842220000003,Bregma −0.09
Bregma −0.09,,SpaGCN,Middle,12,0.4555560213,0.92316583090000004,0.83625336930000005,0.98542425320000004,Bregma −0.09
Bregma −0.09,,BANKSY,High,42,1,1,1,1,Bregma −0.09
Bregma −0.09,,BANKSY,Low,42,0.943341396,0.98019801979999999,0.96078431369999995,0.99966485130000005,Bregma −0.09
Bregma −0.09,,BANKSY,Middle,42,0.98917450969999998,1,1,0.99985659500000001,Bregma −0.09
Bregma −0.09,Bregma −0.09,SEDR,High,7,0.69841072609999999,0.91427001279999998,0.79085385350000004,0.96436466759999995,Bregma −0.09
Bregma −0.09,Bregma −0.09,SEDR,Low,8,0.50941879010000002,0.86483212180000002,0.75293030559999996,0.93628710000000004,Bregma −0.09
Bregma −0.09,Bregma −0.09,SEDR,Middle,8,0.55156670890000004,0.86483212180000002,0.69670897799999998,0.93131143049999998,Bregma −0.09
Bregma −0.14,,GraphST,High,32,0.56813180139999997,0.91391941389999998,0.87871091170000004,0.98320872680000004,Bregma −0.14
Bregma −0.14,,GraphST,Low,32,0.43335575030000001,0.88696039159999995,0.77338355299999995,0.96000370599999996,Bregma −0.14
