section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,section_display,n_cells,n_genes
151508,STAGATE,20,0.285688158,0.468107691,4384.0,7,151508,,
151508,SpaGCN,1,0.3032506767,0.4171099518,4384.0,7,151508,,
151508,SpaGCN,2,0.2759445827,0.4129931358,4384.0,7,151508,,
151508,SpaGCN,3,0.3382476956,0.4072507441,4384.0,7,151508,,
151508,SpaGCN,4,0.2671792064,0.3863964086,4384.0,7,151508,,
151508,SpaGCN,5,0.3430059952,0.4261993659,4384.0,7,151508,,
151508,SpaGCN,6,0.2623602714,0.4003586424,4384.0,7,151508,,
151508,SpaGCN,7,0.3238421801,0.4399933491,4384.0,7,151508,,
151508,SpaGCN,8,0.2849218243,0.3993103196,4384.0,7,151508,,
151508,SpaGCN,9,0.2897414999,0.3797884402,4384.0,7,151508,,
151508,SpaGCN,10,0.2581071835,0.3853566917,4384.0,7,151508,,
151508,SpaGCN,11,0.2608731151,0.3999418624,4384.0,7,151508,,
151508,SpaGCN,12,0.2203792071,0.3647650745,4384.0,7,151508,,
151508,SpaGCN,13,0.2704867846,0.3855623534,4384.0,7,151508,,
151508,SpaGCN,14,0.3010691044,0.4343428024,4384.0,7,151508,,
151508,SpaGCN,15,0.3540000287,0.4445897723,4384.0,7,151508,,
151508,SpaGCN,16,0.3604845814,0.4724635734,4384.0,7,151508,,
151508,SpaGCN,17,0.2826134161,0.4025330187,4384.0,7,151508,,
151508,SpaGCN,18,0.312070773,0.4352892536,4384.0,7,151508,,
151508,SpaGCN,19,0.2533595669,0.3562247687,4384.0,7,151508,,
151508,SpaGCN,20,0.2862520008,0.3815917409,4384.0,7,151508,,
151508,BANKSY,1,0.198384651,0.4064224804,4384.0,7,151508,,
151508,BANKSY,2,0.2667049185,0.5128383621,4384.0,7,151508,,
151508,BANKSY,3,0.3635581517,0.538875399,4384.0,7,151508,,
151508,BANKSY,4,0.1914122047,0.3933337529,4384.0,7,151508,,
151508,BANKSY,5,0.2019494285,0.4087562946,4384.0,7,151508,,
151508,BANKSY,6,0.3708336262,0.5387124079,4384.0,7,151508,,
151508,BANKSY,7,0.3035007604,0.4682801439,4384.0,7,151508,,
151508,BANKSY,8,0.3011665422,0.5122341688,4384.0,7,151508,,
151508,BANKSY,9,0.1921731064,0.3848393569,4384.0,7,151508,,
151508,BANKSY,10,0.2426443554,0.4283597641,4384.0,7,151508,,
151508,BANKSY,11,0.2719636723,0.389727241,4384.0,7,151508,,
151508,BANKSY,12,0.1898970008,0.3926580041,4384.0,7,151508,,
151508,BANKSY,13,0.3664011011,0.5335102568,4384.0,7,151508,,
151508,BANKSY,14,0.2096542267,0.4150793712,4384.0,7,151508,,
151508,BANKSY,15,0.2028802782,0.4094698455,4384.0,7,151508,,
151508,BANKSY,16,0.2042482072,0.4111514349,4384.0,7,151508,,
151508,BANKSY,17,0.2582256429,0.5054899546,4384.0,7,151508,,
151508,BANKSY,18,0.3020337457,0.4666178504,4384.0,7,151508,,
151508,BANKSY,19,0.2096542267,0.4150793712,4384.0,7,151508,,
151508,BANKSY,20,0.2610261903,0.4119439626,4384.0,7,151508,,
151508,SEDR,1,0.482834257237,0.6444461781579999,4384.0,7,151508,4384.0,18067.0
151508,SEDR,2,0.514769888601,0.657543985064,4384.0,7,151508,4384.0,18067.0
151508,SEDR,3,0.485372891495,0.649057185224,4384.0,7,151508,4384.0,18067.0
151508,SEDR,4,0.522594592627,0.657585432589,4384.0,7,151508,4384.0,18067.0
151508,SEDR,5,0.52205551941,0.6529294956119999,4384.0,7,151508,4384.0,18067.0
151508,SEDR,6,0.5222735665919999,0.662227814283,4384.0,7,151508,4384.0,18067.0
151508,SEDR,7,0.466219888477,0.6277473085879999,4384.0,7,151508,4384.0,18067.0
151508,SEDR,8,0.514298942333,0.654387672185,4384.0,7,151508,4384.0,18067.0
151508,SEDR,9,0.5092567335169998,0.660181728764,4384.0,7,151508,4384.0,18067.0
151508,SEDR,10,0.523214305289,0.6639269400339999,4384.0,7,151508,4384.0,18067.0
151508,SEDR,11,0.4785365253839999,0.634312417369,4384.0,7,151508,4384.0,18067.0
151508,SEDR,12,0.484223089378,0.646969094602,4384.0,7,151508,4384.0,18067.0
151508,SEDR,13,0.4457257673539999,0.6305391312529999,4384.0,7,151508,4384.0,18067.0
151508,SEDR,14,0.5136637476659999,0.651313398134,4384.0,7,151508,4384.0,18067.0
151508,SEDR,15,0.497232220339,0.6351727887429999,4384.0,7,151508,4384.0,18067.0
