section,method,median_single_seed_reference_ari,best_single_seed_reference_ari,consensus20_reference_ari,consensus20_reference_nmi,split_half_consensus_ari,algorithm,median_single_seed_pairwise_ari,split_half_gain_over_median_single_seed_pairwise_ari,section_display
151673,SpaGCN,0.2777746628,0.3289365562,0.2474645706,0.3931889907,0.5131443009,average-linkage agglomeration of unweighted co-association matrix,0.5023692787,0.01077502221,151673
151673,BANKSY,0.3283360431,0.3754829268,0.3754829268,0.5813160457,0.9966355333,average-linkage agglomeration of unweighted co-association matrix,0.6021977774,0.3944377559,151673
151673,SEDR,0.569394353131,0.647047736515,0.595521721954,0.713487034722,0.769689313994,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.753678524709,0.0160107892857,151673
151674,GraphST,0.1972995918,0.2359508844,0.1968041884,0.3749996733,0.7443693615,average-linkage agglomeration of unweighted co-association matrix,0.5727780565,0.1715913051,151674
151674,STAGATE,0.2129617979,0.2354745105,0.2347850074,0.3758879677,0.6152811129,average-linkage agglomeration of unweighted co-association matrix,0.551662694,0.06361841888,151674
151674,SpaGCN,0.2285163325,0.2822475735,0.2362401589,0.383978152,0.8675370068,average-linkage agglomeration of unweighted co-association matrix,0.7184514249,0.1490855819,151674
151674,BANKSY,0.2150967877,0.3025505225,0.2156671612,0.3931559873,0.9661509962,average-linkage agglomeration of unweighted co-association matrix,0.7434629778,0.2226880184,151674
151674,SEDR,0.57821223946,0.639917859951,0.649317005983,0.757032780341,0.804807425808,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.712414055923,0.0923933698843,151674
151675,GraphST,0.1463724951,0.1968122062,0.1363560583,0.3638813635,0.7292997933,average-linkage agglomeration of unweighted co-association matrix,0.5268704357,0.2024293576,151675
151675,STAGATE,0.1873943846,0.2185403548,0.2053185665,0.3911933389,0.7299844334,average-linkage agglomeration of unweighted co-association matrix,0.6180861596,0.1118982738,151675
151675,SpaGCN,0.2376500734,0.2828374005,0.2354368671,0.3903659886,0.8423573424,average-linkage agglomeration of unweighted co-association matrix,0.5432446681,0.2991126743,151675
151675,BANKSY,0.2470568708,0.3262488181,0.2184323095,0.4057362952,0.6973892672,average-linkage agglomeration of unweighted co-association matrix,0.6048555446,0.09253372264,151675
151675,SEDR,0.536392596739,0.601778794834,0.550305323813,0.700287030496,0.877429090597,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.747891625452,0.129537465145,151675
151676,GraphST,0.1610284736,0.1772428871,0.1662787944,0.3742898459,0.7442932065,average-linkage agglomeration of unweighted co-association matrix,0.5854579485,0.158835258,151676
151676,STAGATE,0.1747355438,0.2118890594,0.1813849425,0.3654550172,0.7810845468,average-linkage agglomeration of unweighted co-association matrix,0.6267651163,0.1543194304,151676
151676,SpaGCN,0.2255013488,0.2568151675,0.2318171864,0.3603418167,0.7313710862,average-linkage agglomeration of unweighted co-association matrix,0.6085184582,0.122852628,151676
